iter	Logloss	Accuracy
299	0.005701731443	1
300	0.005661259294	1
301	0.005654474497	1
302	0.005649730563	1
303	0.00562987268	1
304	0.005620331764	1
305	0.005617132187	1
306	0.005565373898	1
307	0.005564930439	1
308	0.005563325882	1
309	0.005394507051	1
310	0.005393357277	1
311	0.005387334228	1
312	0.005382984877	1
313	0.005381292105	1
314	0.005376397371	1
315	0.005364944935	1
316	0.00536482811	1
317	0.005361074209	1
318	0.005354958773	1
319	0.005343040824	1
320	0.005342819095	1
321	0.00533832252	1
322	0.005335786343	1
323	0.005333064795	1
324	0.005332225561	1
325	0.005331681371	1
326	0.005330814719	1
327	0.005330677032	1
328	0.005327923298	1
329	0.005327743888	1
330	0.005324457884	1
331	0.00532341361	1
332	0.005323187709	1
333	0.005319046974	1
334	0.005296700597	1
335	0.00526594162	1
336	0.005263201594	1
337	0.005262023211	1
338	0.004945748746	1
339	0.0049362427	1
340	0.004931078255	1
341	0.004929482341	1
342	0.004927251935	1
343	0.004927065969	1
344	0.004912815988	1
345	0.004911437631	1
346	0.004910999238	1
347	0.004909443557	1
348	0.00490727365	1
349	0.004907125235	1
350	0.004906691313	1
351	0.004905750751	1
352	0.004905601144	1
353	0.004903660119	1
354	0.004903488457	1
355	0.004903340936	1
356	0.004901934266	1
357	0.004900558889	1
358	0.004898843169	1
359	0.004893548191	1
360	0.004891097248	1
361	0.004878673553	1
362	0.004877035022	1
363	0.00487672925	1
364	0.004876447022	1
365	0.004870292544	1
366	0.004867670536	1
367	0.004864588976	1
368	0.004862220883	1
369	0.004859438539	1
370	0.004856417179	1
371	0.00485389173	1
372	0.00485234499	1
373	0.004849670529	1
374	0.004847666025	1
375	0.004847427607	1
376	0.004846811295	1
377	0.004845507145	1
378	0.00484528929	1
379	0.004844783545	1
380	0.004844716191	1
381	0.004844045639	1
382	0.004839388132	1
383	0.004837035537	1
384	0.004835449755	1
385	0.004833733439	1
386	0.004823273718	1
387	0.004822885394	1
388	0.004821671247	1
389	0.004800988436	1
390	0.004795973897	1
391	0.004789274931	1
392	0.004786368012	1
393	0.004784463644	1
394	0.004781490564	1
395	0.004780585766	1
396	0.004779662788	1
397	0.004778804481	1
398	0.004777751565	1
399	0.004777599275	1
400	0.004777473211	1
401	0.004777075052	1
402	0.004774798155	1
403	0.004774366319	1
404	0.004774201214	1
405	0.004772242904	1
406	0.004771192968	1
407	0.004770969152	1
408	0.004770792723	1
